tipo,t_inicio,t_fin,vel_max,acel,angulo_objetivo,direccion,angulo_odom
RUN,1773855275.2256935,1773855280.0958579,0.8,0.5,90,CW,89.97
RUN,1773855285.1030219,1773855290.158404,0.8,0.5,90,CW,89.98
RUN,1773855295.1656077,1773855300.0410671,0.8,0.5,90,CW,89.931
RUN,1773855305.0491564,1773855309.999973,0.8,0.5,90,CW,89.927
RUN,1773855315.006461,1773855320.0586655,0.8,0.5,90,CW,89.93
RUN,1773855325.0664306,1773855328.5121932,0.8,1.0,90,CCW,89.978
RUN,1773855333.5192132,1773855337.036133,0.8,1.0,90,CCW,90.014
RUN,1773855342.0459156,1773855345.5133853,0.8,1.0,90,CCW,90.127
RUN,1773855350.5208118,1773855354.1850238,0.8,1.0,90,CCW,89.966
RUN,1773855359.1931424,1773855362.6757693,0.8,1.0,90,CCW,90.283
RUN,1773855367.687504,1773855371.1185617,0.8,1.0,90,CW,90.28
RUN,1773855376.1247396,1773855379.5989773,0.8,1.0,90,CW,90.17
RUN,1773855384.605628,1773855388.0965502,0.8,1.0,90,CW,90.412
RUN,1773855393.10081,1773855396.5579324,0.8,1.0,90,CW,90.102
RUN,1773855401.5660057,1773855405.0434508,0.8,1.0,90,CW,90.352
RUN,1773855410.050162,1773855412.979749,0.8,2.0,90,CCW,90.605
RUN,1773855417.9853823,1773855420.9757202,0.8,2.0,90,CCW,90.659
RUN,1773855425.98133,1773855428.955977,0.8,2.0,90,CCW,90.23
RUN,1773855433.9618473,1773855436.9306583,0.8,2.0,90,CCW,89.999
RUN,1773855441.9369829,1773855444.8603108,0.8,2.0,90,CCW,90.292
RUN,1773855449.8693151,1773855452.8039896,0.8,2.0,90,CW,90.854
RUN,1773855457.8131764,1773855460.803502,0.8,2.0,90,CW,91.185
RUN,1773855465.810314,1773855468.782676,0.8,2.0,90,CW,90.335
RUN,1773855473.7893326,1773855476.7207718,0.8,2.0,90,CW,90.361
RUN,1773855481.728791,1773855484.6783583,0.8,2.0,90,CW,90.914
RUN,1773855489.6858993,1773855495.139889,1.0,0.5,90,CCW,90.028
RUN,1773855500.1447709,1773855505.036261,1.0,0.5,90,CCW,89.965
RUN,1773855510.045122,1773855515.205006,1.0,0.5,90,CCW,90.065
RUN,1773855520.2103345,1773855525.020518,1.0,0.5,90,CCW,90.127
RUN,1773855530.026707,1773855534.8723633,1.0,0.5,90,CCW,89.913
RUN,1773855539.8773863,1773855545.492143,1.0,0.5,90,CW,89.908
RUN,1773855550.4969406,1773855555.2701402,1.0,0.5,90,CW,90.142
RUN,1773855560.2778852,1773855565.132567,1.0,0.5,90,CW,90.173
RUN,1773855570.136458,1773855575.1585708,1.0,0.5,90,CW,90.012
RUN,1773855580.165721,1773855585.5672646,1.0,0.5,90,CW,89.911
RUN,1773855590.5738533,1773855593.8956177,1.0,1.0,90,CCW,90.105
RUN,1773855598.9039094,1773855602.2591279,1.0,1.0,90,CCW,90.166
RUN,1773855607.2646985,1773855610.5817006,1.0,1.0,90,CCW,90.093
RUN,1773855615.589184,1773855619.6656692,1.0,1.0,90,CCW,89.982
RUN,1773855624.6739902,1773855628.0419247,1.0,1.0,90,CCW,89.962
RUN,1773855633.0495844,1773855636.3913448,1.0,1.0,90,CW,90.167
RUN,1773855641.3990967,1773855644.708361,1.0,1.0,90,CW,89.965
RUN,1773855649.7171888,1773855653.1195583,1.0,1.0,90,CW,90.008
RUN,1773855658.1254404,1773855661.4728231,1.0,1.0,90,CW,89.96
RUN,1773855666.4789283,1773855670.1395717,1.0,1.0,90,CW,90.031
RUN,1773855675.1492038,1773855677.8148067,1.0,2.0,90,CCW,90.983
RUN,1773855682.8232243,1773855685.4353404,1.0,2.0,90,CCW,90.496
RUN,1773855690.4411354,1773855693.0816264,1.0,2.0,90,CCW,91.136
RUN,1773855698.0891457,1773855700.7193184,1.0,2.0,90,CCW,90.431
RUN,1773855705.72565,1773855708.3367343,1.0,2.0,90,CCW,90.261
RUN,1773855713.340794,1773855715.942411,1.0,2.0,90,CW,90.343
RUN,1773855720.9489818,1773855723.5823529,1.0,2.0,90,CW,90.848
RUN,1773855728.589962,1773855731.2353575,1.0,2.0,90,CW,91.282
RUN,1773855736.2437844,1773855738.8538086,1.0,2.0,90,CW,90.488
RUN,1773855743.8604908,1773855746.4831102,1.0,2.0,90,CW,91.022
